SOURCE	INITIAL	0	0.0	1.0	0.0	10000000.0
INITIAL	SR_SHA.1983-10-31	0	0.0	1.0	3686.84	3686.84
SR_SHA.1983-10-31	SR_SHA.1983-11-30	0	-7.00344	0.99716	0.0	630.403
SR_SHA.1983-10-31	SR_SHA.1983-11-30	1	-2.97378	0.99716	0.0	737.389
SR_SHA.1983-10-31	SR_SHA.1983-11-30	2	-1.46632	0.99716	0.0	2032.208
FINAL	SINK	0	0.0	1.0	0.0	10000000.0
SR_SHA.1983-11-30	FINAL	0	0.0	1.0	2923.297	2923.297
SOURCE	INFLOW.1983-10-31	0	0.0	1.0	0.0	10000000.0
INFLOW.1983-10-31	SR_SHA.1983-10-31	0	0.0	1.0	301.765	301.765
SOURCE	INFLOW.1983-11-30	0	0.0	1.0	0.0	10000000.0
INFLOW.1983-11-30	SR_SHA.1983-11-30	0	0.0	1.0	650.408	650.408
SR_SHA.1983-10-31	SINK.1983-10-31	0	0.0	1.0	0.0	10000000.0
SR_SHA.1983-11-30	SINK.1983-11-30	0	0.0	1.0	0.0	10000000.0
SINK.1983-10-31	SINK	0	0.0	1.0	0.0	10000000.0
SINK.1983-11-30	SINK	0	0.0	1.0	0.0	10000000.0
